ID;FASE;ÁREA;TAREA;DESCRIPCIÓN;ARCHIVOS_O_RECURSOS;DEPENDENCIAS;ESTADO;PRUEBA;CRITERIO_DE_ACEPTACIÓN;EVIDENCIA
LB1-003;LB-1 — Proyecto compilable;Toolchain;Crear package.json;Definir identidad del proyecto, módulos, engines, scripts y dependencias mínimas.;package.json;LB1-002;PENDIENTE;npm pkg get name;package.json válido y sin dependencias innecesarias.;Archivo
LB1-004;LB-1 — Proyecto compilable;Toolchain;Crear lockfile;Instalar dependencias y fijar versiones exactas.;package-lock.json;LB1-003;PENDIENTE;npm ci;npm ci reproduce la instalación.;Lockfile
LB1-005;LB-1 — Proyecto compilable;TypeScript;Crear tsconfig.base.json;Definir opciones compartidas: strict, noImplicitOverride, noUncheckedIndexedAccess y casing coherente.;tsconfig.base.json;LB1-003;PENDIENTE;npx tsc -p tsconfig.base.json --showConfig;Configuración válida.;Archivo
LB1-006;LB-1 — Proyecto compilable;TypeScript;Crear tsconfig.json de producción;Definir rootDir, outDir, include y exclude del código canónico inicial.;tsconfig.json;LB1-005;PENDIENTE;npm run typecheck;tsconfig carga el árbol previsto.;Archivo
LB1-007;LB-1 — Proyecto compilable;TypeScript;Crear tsconfig.tests.json;Separar configuración de pruebas de la compilación de producción.;tsconfig.tests.json;LB1-005;PENDIENTE;npx tsc -p tsconfig.tests.json --noEmit;Configuración de tests válida.;Archivo
LB1-008;LB-1 — Proyecto compilable;Scripts;Crear scripts de build y typecheck;Añadir build, clean, typecheck y rebuild.;"package.json; scripts/";LB1-003, LB1-006;PENDIENTE;"npm run typecheck; npm run build";Los scripts se ejecutan y devuelven códigos correctos.;Salida CI
LB1-009;LB-1 — Proyecto compilable;Scripts;Crear script de auditoría de imports;Automatizar la detección de imports relativos que no resuelven.;scripts/check-relative-imports.mjs;LB1-003;PENDIENTE;npm run audit:imports;Informe reproducible de imports.;CSV/console
LB1-010;LB-1 — Proyecto compilable;Scripts;Crear script de validación YAML/JSON;Validar sintaxis y esquema básico del conocimiento.;scripts/validate-knowledge.mjs;LB1-003;PENDIENTE;npm run validate:knowledge;Todos los ficheros procesados y errores identificados.;Informe
LB1-011;LB-1 — Proyecto compilable;Tests;Configurar framework de pruebas;Incorporar Vitest o alternativa equivalente con entorno Node.;"vitest.config.ts; tests/";LB1-003;PENDIENTE;npm test;Un smoke test pasa.;Resultado tests
LB1-012;LB-1 — Proyecto compilable;Entrypoint;Crear main mínimo;Crear un punto de entrada que imprima versión, inicialice configuración y cierre limpiamente.;src/main.ts;LB1-006;PENDIENTE;npm start;La aplicación arranca y termina sin excepción.;Log
LB1-013;LB-1 — Proyecto compilable;Clasificación;Clasificar los 25 archivos sintácticamente rotos;Asignar A válida reparable, B parcial, C duplicada, D obsoleta, E integrable o F archivable.;docs/audit/CLASIFICACION_ERRORES_SINTAXIS.csv;LB1-001;PENDIENTE;Revisión de los 25 archivos;Todos tienen clasificación y decisión provisional.;CSV
LB1-014;LB-1 — Proyecto compilable;Sintaxis;Resolver sintaxis de knowledge/inference/InferenceEngine.ts;"Reparar, aislar o archivar el archivo conforme a su clasificación; no concatenar bloques sin consolidación.";knowledge/inference/InferenceEngine.ts;LB1-013;PENDIENTE;npx tsc --noEmit knowledge/inference/InferenceEngine.ts;El archivo compila o queda formalmente excluido y documentado.;Commit + prueba
LB1-015;LB-1 — Proyecto compilable;Sintaxis;Resolver sintaxis de knowledge/reasoning/LegalReasoner.ts;"Reparar, aislar o archivar el archivo conforme a su clasificación; no concatenar bloques sin consolidación.";knowledge/reasoning/LegalReasoner.ts;LB1-013;PENDIENTE;npx tsc --noEmit knowledge/reasoning/LegalReasoner.ts;El archivo compila o queda formalmente excluido y documentado.;Commit + prueba
LB1-016;LB-1 — Proyecto compilable;Sintaxis;Resolver sintaxis de src/domain/cpv/CPVEngine.ts;"Reparar, aislar o archivar el archivo conforme a su clasificación; no concatenar bloques sin consolidación.";src/domain/cpv/CPVEngine.ts;LB1-013;PENDIENTE;npx tsc --noEmit src/domain/cpv/CPVEngine.ts;El archivo compila o queda formalmente excluido y documentado.;Commit + prueba
LB1-017;LB-1 — Proyecto compilable;Sintaxis;Resolver sintaxis de src/domain/conocimiento/KnowledgeEngine.ts;"Reparar, aislar o archivar el archivo conforme a su clasificación; no concatenar bloques sin consolidación.";src/domain/conocimiento/KnowledgeEngine.ts;LB1-013;PENDIENTE;npx tsc --noEmit src/domain/conocimiento/KnowledgeEngine.ts;El archivo compila o queda formalmente excluido y documentado.;Commit + prueba
LB1-018;LB-1 — Proyecto compilable;Sintaxis;Resolver sintaxis de src/domain/rules/RuleEngine.ts;"Reparar, aislar o archivar el archivo conforme a su clasificación; no concatenar bloques sin consolidación.";src/domain/rules/RuleEngine.ts;LB1-013;PENDIENTE;npx tsc --noEmit src/domain/rules/RuleEngine.ts;El archivo compila o queda formalmente excluido y documentado.;Commit + prueba
LB1-019;LB-1 — Proyecto compilable;Sintaxis;Resolver sintaxis de src/application/documents/DocumentGenerator.ts;"Reparar, aislar o archivar el archivo conforme a su clasificación; no concatenar bloques sin consolidación.";src/application/documents/DocumentGenerator.ts;LB1-013;PENDIENTE;npx tsc --noEmit src/application/documents/DocumentGenerator.ts;El archivo compila o queda formalmente excluido y documentado.;Commit + prueba
LB1-020;LB-1 — Proyecto compilable;Sintaxis;Resolver sintaxis de src/domain/legal/LegalReasoner.ts;"Reparar, aislar o archivar el archivo conforme a su clasificación; no concatenar bloques sin consolidación.";src/domain/legal/LegalReasoner.ts;LB1-013;PENDIENTE;npx tsc --noEmit src/domain/legal/LegalReasoner.ts;El archivo compila o queda formalmente excluido y documentado.;Commit + prueba
LB1-021;LB-1 — Proyecto compilable;Sintaxis;Resolver sintaxis de src/infrastructure/ai/AIManager.ts;"Reparar, aislar o archivar el archivo conforme a su clasificación; no concatenar bloques sin consolidación.";src/infrastructure/ai/AIManager.ts;LB1-013;PENDIENTE;npx tsc --noEmit src/infrastructure/ai/AIManager.ts;El archivo compila o queda formalmente excluido y documentado.;Commit + prueba
LB1-022;LB-1 — Proyecto compilable;Sintaxis;Resolver sintaxis de src/domain/events/EventBus.ts;"Reparar, aislar o archivar el archivo conforme a su clasificación; no concatenar bloques sin consolidación.";src/domain/events/EventBus.ts;LB1-013;PENDIENTE;npx tsc --noEmit src/domain/events/EventBus.ts;El archivo compila o queda formalmente excluido y documentado.;Commit + prueba
LB1-023;LB-1 — Proyecto compilable;Sintaxis;Resolver sintaxis de src/bootstrap/ArchitectureBootstrap.ts;"Reparar, aislar o archivar el archivo conforme a su clasificación; no concatenar bloques sin consolidación.";src/bootstrap/ArchitectureBootstrap.ts;LB1-013;PENDIENTE;npx tsc --noEmit src/bootstrap/ArchitectureBootstrap.ts;El archivo compila o queda formalmente excluido y documentado.;Commit + prueba
LB1-024;LB-1 — Proyecto compilable;Sintaxis;Resolver sintaxis de src/application/modules/contract-generator/ContractContext.ts;"Reparar, aislar o archivar el archivo conforme a su clasificación; no concatenar bloques sin consolidación.";src/application/modules/contract-generator/ContractContext.ts;LB1-013;PENDIENTE;npx tsc --noEmit src/application/modules/contract-generator/ContractContext.ts;El archivo compila o queda formalmente excluido y documentado.;Commit + prueba
LB1-025;LB-1 — Proyecto compilable;Sintaxis;Resolver sintaxis de src/application/modules/contract-generator/GenerationResult.ts;"Reparar, aislar o archivar el archivo conforme a su clasificación; no concatenar bloques sin consolidación.";src/application/modules/contract-generator/GenerationResult.ts;LB1-013;PENDIENTE;npx tsc --noEmit src/application/modules/contract-generator/GenerationResult.ts;El archivo compila o queda formalmente excluido y documentado.;Commit + prueba
LB1-026;LB-1 — Proyecto compilable;Sintaxis;Resolver sintaxis de src/domain/documental/DocumentAssembler.ts;"Reparar, aislar o archivar el archivo conforme a su clasificación; no concatenar bloques sin consolidación.";src/domain/documental/DocumentAssembler.ts;LB1-013;PENDIENTE;npx tsc --noEmit src/domain/documental/DocumentAssembler.ts;El archivo compila o queda formalmente excluido y documentado.;Commit + prueba
LB1-027;LB-1 — Proyecto compilable;Sintaxis;Resolver sintaxis de src/domain/rules/solvency/ClassificationRule.ts;"Reparar, aislar o archivar el archivo conforme a su clasificación; no concatenar bloques sin consolidación.";src/domain/rules/solvency/ClassificationRule.ts;LB1-013;PENDIENTE;npx tsc --noEmit src/domain/rules/solvency/ClassificationRule.ts;El archivo compila o queda formalmente excluido y documentado.;Commit + prueba
LB1-028;LB-1 — Proyecto compilable;Sintaxis;Resolver sintaxis de src/domain/plugins/PluginManager.ts;"Reparar, aislar o archivar el archivo conforme a su clasificación; no concatenar bloques sin consolidación.";src/domain/plugins/PluginManager.ts;LB1-013;PENDIENTE;npx tsc --noEmit src/domain/plugins/PluginManager.ts;El archivo compila o queda formalmente excluido y documentado.;Commit + prueba
LB1-029;LB-1 — Proyecto compilable;Sintaxis;Resolver sintaxis de src/domain/resolvers/AwardCriteriaResolver.ts;"Reparar, aislar o archivar el archivo conforme a su clasificación; no concatenar bloques sin consolidación.";src/domain/resolvers/AwardCriteriaResolver.ts;LB1-013;PENDIENTE;npx tsc --noEmit src/domain/resolvers/AwardCriteriaResolver.ts;El archivo compila o queda formalmente excluido y documentado.;Commit + prueba
LB1-030;LB-1 — Proyecto compilable;Sintaxis;Resolver sintaxis de src/domain/validation/ValidationFramework.ts;"Reparar, aislar o archivar el archivo conforme a su clasificación; no concatenar bloques sin consolidación.";src/domain/validation/ValidationFramework.ts;LB1-013;PENDIENTE;npx tsc --noEmit src/domain/validation/ValidationFramework.ts;El archivo compila o queda formalmente excluido y documentado.;Commit + prueba
LB1-031;LB-1 — Proyecto compilable;Sintaxis;Resolver los restantes archivos sintácticamente rotos;Procesar todos los registros restantes del CSV de sintaxis hasta dejar cero archivos rotos en el árbol activo.;ERRORES_SINTAXIS_CONTRATA_IA.csv;LB1-013;PENDIENTE;npm run audit:syntax;0 archivos activos con errores sintácticos.;Informe vacío
LB1-032;LB-1 — Proyecto compilable;Imports;Clasificar los imports no resueltos por familia;Agrupar framework/types, conocimiento, documental, contract-generator, resolvers, IA y workflow.;docs/audit/CLASIFICACION_IMPORTS.csv;LB1-009;PENDIENTE;Revisión de informe;Cada import tiene acción: corregir, reemplazar, archivar o excluir.;CSV
LB1-033;LB-1 — Proyecto compilable;Imports;Resolver imports de knowledge/inference;Resolver ContextResolver, RuleExecutor, LegalReasoner, ConflictResolver, RecommendationEngine, ExplanationEngine, EvidenceCollector, DecisionValidator, ConfidenceCalculator y TraceabilityManager.;"knowledge/inference/InferenceEngine.ts; knowledge/inference/";LB1-014, LB1-032;PENDIENTE;npm run audit:imports;0 imports rotos en la familia.;Informe
LB1-034;LB-1 — Proyecto compilable;Imports;Resolver imports del contract-generator;Corregir tipos comunes, CPV, ContractTypes, LegalReference, RuleEngine, InferenceEngine, LegalReasoner, ValidationEngine, WorkflowEngine, DocumentGenerator y ExportManager.;src/application/modules/contract-generator/;LB1-024, LB1-025, LB1-032;PENDIENTE;npm run typecheck;El módulo compila aisladamente.;Resultado
LB1-035;LB-1 — Proyecto compilable;Imports;Resolver imports documentales;Corregir DocumentContext, FrameworkTypes, resultados de resolvers, generadores y modelos de solicitud.;"src/domain/documental/; src/domain/document-composer/; src/documental/";LB1-019, LB1-026, LB1-032;PENDIENTE;npm run typecheck;La familia documental no contiene imports rotos.;Resultado
LB1-036;LB-1 — Proyecto compilable;Imports;Resolver imports de resolvers y reglas;Corregir imports de ContractType, CPVCode, DecisionContext, tipos de procedimiento, solvencia, garantías y criterios.;"src/domain/resolvers/; src/domain/rules/";LB1-018, LB1-027, LB1-029, LB1-032;PENDIENTE;npm run typecheck;0 imports no resueltos en resolvers/reglas.;Resultado
LB1-037;LB-1 — Proyecto compilable;Imports;Resolver imports de aplicación e integración;Corregir CostEstimator y dependencias reales de ApplicationKernel, WorkflowOrchestrator, ServiceRegistry y ApplicationContext.;"src/application/integration/; src/infrastructure/services/";LB1-032;PENDIENTE;npm run typecheck;El bootstrap de servicios compila.;Resultado
LB1-038;LB-1 — Proyecto compilable;Imports;Resolver el resto de imports relativos;Procesar el CSV completo hasta dejar cero imports relativos no resueltos en el árbol activo.;IMPORTS_NO_RESUELTOS_CONTRATA_IA.csv;LB1-033 a LB1-037;PENDIENTE;npm run audit:imports;0 referencias relativas no resueltas.;Informe vacío
LB1-039;LB-1 — Proyecto compilable;Conocimiento;Corregir 00-core.rules.yaml;Reparar la sintaxis en la zona auditada y validar que la semántica no se alteró.;knowledge/rule-engine/00-core.rules.yaml;LB1-010;PENDIENTE;npm run validate:knowledge;YAML válido y reglas contabilizadas.;Resultado
LB1-040;LB-1 — Proyecto compilable;Conocimiento;Corregir extincion.rules.yaml;Reparar estructura YAML, validar claves y conservar la intención de las reglas.;knowledge/rules/extincion.rules.yaml;LB1-010;PENDIENTE;npm run validate:knowledge;YAML válido y cargable.;Resultado
LB1-041;LB-1 — Proyecto compilable;Conocimiento;Corregir criterios.rules.yaml;Reparar estructura YAML, validar claves y conservar la intención de las reglas.;knowledge/rules/criterios.rules.yaml;LB1-010;PENDIENTE;npm run validate:knowledge;YAML válido y cargable.;Resultado
LB1-042;LB-1 — Proyecto compilable;Conocimiento;Corregir evaluacion.rules.yaml;Reparar estructura YAML, validar claves y conservar la intención de las reglas.;knowledge/rules/evaluacion.rules.yaml;LB1-010;PENDIENTE;npm run validate:knowledge;YAML válido y cargable.;Resultado
LB1-043;LB-1 — Proyecto compilable;Conocimiento;Corregir pliegos.rules.yaml;Reparar estructura YAML, validar claves y conservar la intención de las reglas.;knowledge/rules/pliegos.rules.yaml;LB1-010;PENDIENTE;npm run validate:knowledge;YAML válido y cargable.;Resultado
LB1-044;LB-1 — Proyecto compilable;Conocimiento;Corregir ejecucion.rules.yaml;Reparar estructura YAML, validar claves y conservar la intención de las reglas.;knowledge/rules/ejecucion.rules.yaml;LB1-010;PENDIENTE;npm run validate:knowledge;YAML válido y cargable.;Resultado
LB1-045;LB-1 — Proyecto compilable;Conocimiento;Corregir documentos.rules.yaml;Reparar estructura YAML, validar claves y conservar la intención de las reglas.;knowledge/rules/documentos.rules.yaml;LB1-010;PENDIENTE;npm run validate:knowledge;YAML válido y cargable.;Resultado
LB1-046;LB-1 — Proyecto compilable;Toolchain;Eliminar errores de dependencias externas;"Instalar o sustituir las dependencias realmente utilizadas; prohibido añadir librerías para código archivado.";"package.json; package-lock.json";LB1-031, LB1-038;PENDIENTE;npm ci && npm run typecheck;No faltan módulos externos en el árbol activo.;Resultado
LB1-047;LB-1 — Proyecto compilable;Entrypoint;Integrar bootstrap mínimo;Inicializar configuración, logger y una versión mínima del contenedor sin cargar motores rotos.;"src/main.ts; src/bootstrap/";LB1-012, LB1-031, LB1-038;PENDIENTE;npm start;Arranque limpio y cierre controlado.;Log
LB1-048;LB-1 — Proyecto compilable;Tests;Crear smoke tests de configuración y arranque;Comprobar que configuración, rutas temporales y bootstrap mínimo funcionan.;tests/smoke/bootstrap.test.ts;LB1-011, LB1-047;PENDIENTE;npm test;Smoke tests verdes.;Informe
LB1-049;LB-1 — Proyecto compilable;Puerta;Cerrar LB-1;Ejecutar instalación limpia, typecheck, build, tests y start.;Proyecto completo activo;LB1-001 a LB1-048;PENDIENTE;npm ci && npm run typecheck && npm run build && npm test && npm start;Todos los comandos terminan con código 0.;Acta de cierre LB-1
LB2-001;LB-2 — Arquitectura canónica;Arquitectura;Crear mapa AS-IS;Documentar módulos actuales, dependencias y familias paralelas.;docs/architecture/AS_IS_ARCHITECTURE.md;LB1-049;PENDIENTE;Revisión contra inventario;El mapa refleja el repositorio compilable.;Documento
LB2-002;LB-2 — Arquitectura canónica;Arquitectura;Diseñar arquitectura TO-BE;Definir capas UI/API/Application/Domain/Infrastructure y reglas de dependencia.;docs/architecture/ARCHITECTURE.md;LB2-001;PENDIENTE;Revisión arquitectónica;Arquitectura objetivo aprobada.;Documento
LB2-003;LB-2 — Arquitectura canónica;Gobierno;Crear plantilla ADR;Definir plantilla con problema, contexto, alternativas, decisión, impacto y migración.;docs/architecture/ADR-TEMPLATE.md;LB2-002;PENDIENTE;Revisión;Plantilla disponible.;Archivo
LB2-004;LB-2 — Arquitectura canónica;Consolidación;Seleccionar implementación canónica: Configuración;"Comparar APIs, cobertura, dependencias, pruebas potenciales y capacidad de integración; registrar la decisión y plan de migración.";"AppConfiguration.ts; ApplicationConfiguration.ts; ConfigManager.ts; ConfigurationManager.ts; Environment.ts; docs/architecture/ADR-0002-CONFIGURATION.md";LB2-002, LB2-003;PENDIENTE;Matriz comparativa + typecheck;Existe una única implementación canónica declarada y un plan para retirar alternativas.;ADR
LB2-005;LB-2 — Arquitectura canónica;Consolidación;Seleccionar implementación canónica: EventBus;"Comparar APIs, cobertura, dependencias, pruebas potenciales y capacidad de integración; registrar la decisión y plan de migración.";"src/infrastructure/events/EventBus.ts; src/domain/events/EventBus.ts; docs/architecture/ADR-0003-EVENTS.md";LB2-002, LB2-003;PENDIENTE;Matriz comparativa + typecheck;Existe una única implementación canónica declarada y un plan para retirar alternativas.;ADR
LB2-006;LB-2 — Arquitectura canónica;Consolidación;Seleccionar implementación canónica: RuleEngine;"Comparar APIs, cobertura, dependencias, pruebas potenciales y capacidad de integración; registrar la decisión y plan de migración.";"src/engines/RuleEngine.ts; src/knowledge/RuleEngine.ts; src/domain/conocimiento/RuleEngine.ts; src/domain/knowledge/RuleEngine.ts; src/domain/rules/RuleEngine.ts; docs/architecture/ADR-0004-RULE-ENGINE.md";LB2-002, LB2-003;PENDIENTE;Matriz comparativa + typecheck;Existe una única implementación canónica declarada y un plan para retirar alternativas.;ADR
LB2-007;LB-2 — Arquitectura canónica;Consolidación;Seleccionar implementación canónica: InferenceEngine;"Comparar APIs, cobertura, dependencias, pruebas potenciales y capacidad de integración; registrar la decisión y plan de migración.";"src/knowledge/InferenceEngine.ts; src/domain/conocimiento/InferenceEngine.ts; src/domain/legal/core/InferenceEngine.ts; src/domain/legal/reasoner/InferenceEngine.ts; knowledge/inference/InferenceEngine.ts; docs/architecture/ADR-0005-INFERENCE.md";LB2-002, LB2-003;PENDIENTE;Matriz comparativa + typecheck;Existe una única implementación canónica declarada y un plan para retirar alternativas.;ADR
LB2-008;LB-2 — Arquitectura canónica;Consolidación;Seleccionar implementación canónica: KnowledgeRepository;"Comparar APIs, cobertura, dependencias, pruebas potenciales y capacidad de integración; registrar la decisión y plan de migración.";"src/repositories/KnowledgeRepository.ts; src/infrastructure/persistence/KnowledgeRepository.ts; src/domain/conocimiento/KnowledgeRepository.ts; src/domain/knowledge/KnowledgeRepository.ts; docs/architecture/ADR-0006-KNOWLEDGE.md";LB2-002, LB2-003;PENDIENTE;Matriz comparativa + typecheck;Existe una única implementación canónica declarada y un plan para retirar alternativas.;ADR
LB2-009;LB-2 — Arquitectura canónica;Consolidación;Seleccionar implementación canónica: LegalReasoner;"Comparar APIs, cobertura, dependencias, pruebas potenciales y capacidad de integración; registrar la decisión y plan de migración.";"src/domain/legal/LegalReasoner.ts; src/domain/legal/core/LegalReasoner.ts; knowledge/reasoning/LegalReasoner.ts; docs/architecture/ADR-0007-LEGAL-REASONER.md";LB2-002, LB2-003;PENDIENTE;Matriz comparativa + typecheck;Existe una única implementación canónica declarada y un plan para retirar alternativas.;ADR
LB2-010;LB-2 — Arquitectura canónica;Consolidación;Seleccionar implementación canónica: DecisionEngine;"Comparar APIs, cobertura, dependencias, pruebas potenciales y capacidad de integración; registrar la decisión y plan de migración.";"src/domain/knowledge/DecisionEngine.ts; src/domain/decision/DecisionEngine.ts; src/domain/legal/core/DecisionEngine.ts; docs/architecture/ADR-0008-DECISIONS.md";LB2-002, LB2-003;PENDIENTE;Matriz comparativa + typecheck;Existe una única implementación canónica declarada y un plan para retirar alternativas.;ADR
LB2-011;LB-2 — Arquitectura canónica;Consolidación;Seleccionar implementación canónica: CPVEngine y CPVResolver;"Comparar APIs, cobertura, dependencias, pruebas potenciales y capacidad de integración; registrar la decisión y plan de migración.";"src/engines/CPVEngine.ts; src/domain/cpv/CPVEngine.ts; src/domain/resolvers/CPVResolver.ts; src/domain/legal/modules/cpv/CPVResolver.ts; docs/architecture/ADR-0009-CPV.md";LB2-002, LB2-003;PENDIENTE;Matriz comparativa + typecheck;Existe una única implementación canónica declarada y un plan para retirar alternativas.;ADR
LB2-012;LB-2 — Arquitectura canónica;Consolidación;Seleccionar implementación canónica: Solvencia;"Comparar APIs, cobertura, dependencias, pruebas potenciales y capacidad de integración; registrar la decisión y plan de migración.";"src/domain/resolvers/SolvencyResolver.ts; src/domain/rules/solvency/SolvencyResolver.ts; src/domain/legal/modules/solvencia/SolvencyResolver.ts; docs/architecture/ADR-0010-SOLVENCY.md";LB2-002, LB2-003;PENDIENTE;Matriz comparativa + typecheck;Existe una única implementación canónica declarada y un plan para retirar alternativas.;ADR
LB2-013;LB-2 — Arquitectura canónica;Consolidación;Seleccionar implementación canónica: Garantías;"Comparar APIs, cobertura, dependencias, pruebas potenciales y capacidad de integración; registrar la decisión y plan de migración.";"src/domain/resolvers/GuaranteeResolver.ts; src/domain/rules/guarantees/GuaranteeResolver.ts; src/domain/legal/modules/garantias/GuaranteeResolver.ts; docs/architecture/ADR-0011-GUARANTEES.md";LB2-002, LB2-003;PENDIENTE;Matriz comparativa + typecheck;Existe una única implementación canónica declarada y un plan para retirar alternativas.;ADR
LB2-014;LB-2 — Arquitectura canónica;Consolidación;Seleccionar implementación canónica: Procedimiento;"Comparar APIs, cobertura, dependencias, pruebas potenciales y capacidad de integración; registrar la decisión y plan de migración.";"src/domain/resolvers/ProcedureResolver.ts; src/domain/legal/modules/procedimiento/ProcedureResolver.ts; docs/architecture/ADR-0012-PROCEDURE.md";LB2-002, LB2-003;PENDIENTE;Matriz comparativa + typecheck;Existe una única implementación canónica declarada y un plan para retirar alternativas.;ADR
LB2-015;LB-2 — Arquitectura canónica;Consolidación;Seleccionar implementación canónica: Modelo de expediente;"Comparar APIs, cobertura, dependencias, pruebas potenciales y capacidad de integración; registrar la decisión y plan de migración.";"src/domain/expediente/; src/domain/value-objects/; src/domain/objeto/; docs/architecture/ADR-0013-EXPEDIENTE.md";LB2-002, LB2-003;PENDIENTE;Matriz comparativa + typecheck;Existe una única implementación canónica declarada y un plan para retirar alternativas.;ADR
LB2-016;LB-2 — Arquitectura canónica;Consolidación;Seleccionar implementación canónica: Modelo documental;"Comparar APIs, cobertura, dependencias, pruebas potenciales y capacidad de integración; registrar la decisión y plan de migración.";"src/generators/; src/domain/documental/; src/domain/document-composer/; src/documental/; docs/architecture/ADR-0014-DOCUMENTS.md";LB2-002, LB2-003;PENDIENTE;Matriz comparativa + typecheck;Existe una única implementación canónica declarada y un plan para retirar alternativas.;ADR
